Rk,Player,Name,Tag,Season,Age,Tm,Lg,PTS,TS%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
36,Clyde Drexler\drexlcl01,Clyde Drexler,drexlcl01,1991-92,29,POR,NBA,33.5,0.56,12.8,76,76,2751,694,1476,580,1138,114,338,401,505,166,334,500,512,138,70,240,229,1903,0.47,0.51,0.337,0.509,0.794
37,James Harden\hardeja01,James Harden,hardeja01,2012-13,23,HOU,NBA,33.8,0.6,12.8,78,78,2985,585,1337,406,851,179,486,674,792,62,317,379,455,142,38,295,178,2023,0.438,0.477,0.368,0.504,0.851
38,James Harden\hardeja01,James Harden,hardeja01,2013-14,24,HOU,NBA,33.2,0.618,12.8,73,73,2777,549,1205,372,722,177,483,576,665,61,283,344,446,115,29,265,177,1851,0.456,0.515,0.366,0.529,0.866
39,Dwyane Wade\wadedw01,Dwyane Wade,wadedw01,2010-11,29,MIA,NBA,36.3,0.581,12.8,76,76,2823,692,1384,629,1178,63,206,494,652,123,362,485,346,111,87,237,197,1941,0.5,0.534,0.306,0.523,0.758
40,Terrell Brandon\brandte01,Terrell Brandon,brandte01,1995-96,25,CLE,NBA,32.9,0.573,12.7,75,75,2570,510,1096,419,861,91,235,338,381,47,201,248,487,132,33,142,146,1449,0.465,0.487,0.387,0.507,0.887
41,Kobe Bryant\bryanko01,Kobe Bryant,bryanko01,2008-09,30,LAL,NBA,37.8,0.561,12.7,82,82,2960,800,1712,682,1376,118,336,483,564,90,339,429,399,120,37,210,189,2201,0.467,0.496,0.351,0.502,0.856
42,David Thompson\thompda01,David Thompson,thompda01,1977-78,23,DEN,NBA,31.8,0.578,12.7,80,,3025,826,1584,826,1584,,,520,668,156,234,390,362,92,99,245,213,2172,0.521,0.521,,0.521,0.778
43,Stephen Curry\curryst01,Stephen Curry,curryst01,2016-17,28,GSW,NBA,36.5,0.624,12.6,79,79,2638,675,1443,351,654,324,789,325,362,61,292,353,524,142,17,239,183,1999,0.468,0.537,0.411,0.58,0.898
44,Clyde Drexler\drexlcl01,Clyde Drexler,drexlcl01,1988-89,26,POR,NBA,32,0.555,12.6,78,78,3064,829,1672,802,1568,27,104,438,548,289,326,615,450,213,54,250,269,2123,0.496,0.511,0.26,0.504,0.799
45,Reggie Miller\millere01,Reggie Miller,millere01,1990-91,25,IND,NBA,30.2,0.65,12.5,82,82,2972,596,1164,484,842,112,322,551,600,81,200,281,331,109,13,163,165,1855,0.512,0.575,0.348,0.56,0.918
46,Isaiah Thomas\thomais02,Isaiah Thomas,thomais02,2016-17,27,BOS,NBA,42.4,0.625,12.5,76,76,2569,682,1473,437,827,245,646,590,649,43,162,205,448,70,13,210,167,2199,0.463,0.528,0.379,0.546,0.909
47,Reggie Miller\millere01,Reggie Miller,millere01,1996-97,31,IND,NBA,31.8,0.603,12.3,81,81,2966,552,1244,323,708,229,536,418,475,53,233,286,273,75,25,166,172,1751,0.444,0.456,0.427,0.536,0.88
48,Sam Cassell\cassesa01,Sam Cassell,cassesa01,2003-04,34,MIN,NBA,30.5,0.566,12.1,81,81,2838,620,1270,546,1084,74,186,289,331,44,227,271,592,102,18,220,247,1603,0.488,0.504,0.398,0.517,0.873
49,Reggie Miller\millere01,Reggie Miller,millere01,1989-90,24,IND,NBA,31.2,0.645,12.1,82,82,3192,661,1287,511,925,150,362,544,627,95,200,295,311,110,18,222,175,2016,0.514,0.552,0.414,0.572,0.868
50,George Gervin\gervige01,George Gervin,gervige01,1977-78,25,SAS,NBA,34.4,0.594,12,82,,2857,864,1611,864,1611,,,504,607,118,302,420,302,136,110,306,255,2232,0.536,0.536,,0.536,0.83
51,Reggie Miller\millere01,Reggie Miller,millere01,1997-98,32,IND,NBA,30.8,0.619,12,81,81,2795,516,1081,352,699,164,382,382,440,46,186,232,171,78,11,128,148,1578,0.477,0.504,0.429,0.553,0.868
52,Clyde Drexler\drexlcl01,Clyde Drexler,drexlcl01,1994-95,32,TOT,NBA,30.9,0.577,11.7,76,75,2728,571,1238,424,830,147,408,364,442,152,328,480,362,136,45,186,206,1653,0.461,0.511,0.36,0.521,0.824
53,Reggie Miller\millere01,Reggie Miller,millere01,1993-94,28,IND,NBA,30.7,0.636,11.7,79,79,2638,524,1042,401,750,123,292,403,444,30,182,212,248,119,24,175,193,1574,0.503,0.535,0.421,0.562,0.908
54,Allen Iverson\iversal01,Allen Iverson,iversal01,2007-08,32,DEN,NBA,30.4,0.567,11.6,82,82,3424,712,1556,617,1281,95,275,645,797,47,196,243,586,160,12,245,109,2164,0.458,0.482,0.345,0.488,0.809
55,Gilbert Arenas\arenagi01,Gilbert Arenas,arenagi01,2004-05,23,WAS,NBA,32,0.565,11.5,80,80,3274,656,1523,451,961,205,562,521,640,83,295,378,411,139,23,242,245,2038,0.431,0.469,0.365,0.498,0.814
56,George Gervin\gervige01,George Gervin,gervige01,1978-79,26,SAS,NBA,35.6,0.591,11.4,80,,2888,947,1749,947,1749,,,471,570,142,258,400,219,137,91,286,275,2365,0.541,0.541,,0.541,0.826
57,Reggie Miller\millere01,Reggie Miller,millere01,1994-95,29,IND,NBA,31.8,0.62,11.4,81,81,2665,505,1092,310,622,195,470,383,427,30,180,210,242,98,16,151,157,1588,0.462,0.498,0.415,0.552,0.897
58,Kobe Bryant\bryanko01,Kobe Bryant,bryanko01,2000-01,22,LAL,NBA,36.4,0.552,11.3,68,68,2783,701,1510,640,1310,61,200,475,557,104,295,399,338,114,43,220,222,1938,0.464,0.489,0.305,0.484,0.853
59,Stephen Curry\curryst01,Stephen Curry,curryst01,2012-13,24,GSW,NBA,30.4,0.589,11.2,78,78,2983,626,1388,354,788,272,600,262,291,59,255,314,539,126,12,240,198,1786,0.451,0.449,0.453,0.549,0.9
60,Manu Ginobili\ginobma01,Manu Ginobili,ginobma01,2007-08,30,SAS,NBA,33.9,0.612,11.1,74,23,2299,453,984,297,595,156,389,380,442,63,291,354,332,109,33,200,173,1442,0.46,0.499,0.401,0.54,0.86
61,Dwyane Wade\wadedw01,Dwyane Wade,wadedw01,2004-05,23,MIA,NBA,33,0.561,11,77,77,2974,630,1318,617,1273,13,45,581,762,110,287,397,520,121,82,321,230,1854,0.478,0.485,0.289,0.483,0.762
62,Kobe Bryant\bryanko01,Kobe Bryant,bryanko01,2012-13,34,LAL,NBA,36,0.57,10.9,78,78,3013,738,1595,606,1188,132,407,525,626,66,367,433,469,106,25,287,173,2133,0.463,0.51,0.324,0.504,0.839
63,Gilbert Arenas\arenagi01,Gilbert Arenas,arenagi01,2006-07,25,WAS,NBA,36.5,0.565,10.8,74,73,2942,647,1548,442,964,205,584,606,718,61,277,338,443,139,13,236,249,2105,0.418,0.459,0.351,0.484,0.844
64,Dale Ellis\ellisda01,Dale Ellis,ellisda01,1988-89,28,SEA,NBA,33.9,0.589,10.8,82,82,3190,857,1710,695,1371,162,339,377,462,156,186,342,164,108,22,218,197,2253,0.501,0.507,0.478,0.549,0.816
65,Michael Redd\reddmi01,Michael Redd,reddmi01,2005-06,26,MIL,NBA,34.1,0.574,10.8,80,80,3130,682,1516,519,1103,163,413,501,571,78,264,342,229,95,5,170,157,2028,0.45,0.471,0.395,0.504,0.877
